ABE	3.2024958794443137
ABI	4.409534750143596
ABQ	4.291413230420739
ABR	10.718836565096954
ABY	15.914134742404228
ACK	11.23023402909551
ACT	15.302830188679245
ACV	17.972957084068195
ACY	1.755950385517935
ADK	-6.833333333333333
ADQ	1.3479349186483105
AEX	12.220093215950286
AGS	13.461440570119624
AKN	-3.2655367231638417
ALB	6.072989621129019
ALW	2.8155893536121672
AMA	5.493410543130991
ANC	1.6699247707429576
APN	9.789819376026273
ASE	20.62104830983988
ATL	6.82433913203144
ATW	10.712748614281056
AUS	9.236286419284426
AVL	11.659344431096619
AVP	13.363520408163266
AZA	-0.957611120645272
AZO	5.521739130434782
BDL	5.913514991342386
BET	12.032033426183844
BFF	9.162295081967214
BFL	1.2623445156426687
BGM	7.265536723163842
BGR	3.998432601880878
BHM	7.251707891637221
BIH	9.047619047619047
BIL	3.3932310689067444
BIS	5.029546612328069
BJI	9.915629322268327
BLI	3.810071371927042
BLV	15.130393996247655
BMI	4.794991263832266
BNA	5.92740791766279
BOI	2.9826324605483556
BOS	4.108080707824065
BPT	4.1678321678321675
BQK	17.442622950819672
BQN	10.617402164862614
BRD	2.337984496124031
BRO	6.3269130661114
BRW	11.359420289855073
BTM	-14.178260869565218
BTR	8.680515164104694
BTV	4.508058423570889
BUF	5.508783284023669
BUR	4.130450617488329
BWI	8.155402001007701
BZN	6.694885011895321
CAE	5.625186734389005
CAK	11.216121495327103
CDC	-1.8044871794871795
CDV	-0.671875
CHA	7.660059171597633
CHO	5.713235294117647
CHS	6.810417327832434
CID	11.572618296529969
CIU	18.404463040446306
CKB	35.42574257425743
CLE	3.9670972700900053
CLL	9.781135531135531
CLT	13.904229878185486
CMH	2.7353138637126553
CMI	8.097794117647059
CMX	17.759656652360515
CNY	-1.8620689655172413
COD	9.540064102564102
COS	4.810282694001762
COU	12.357471264367817
CPR	-2.2403189066059226
CRP	6.334122599315969
CRW	14.088626292466765
CSG	7.6108273748723185
CVG	5.2336987313708585
CWA	-2.9034482758620688
CYS	-1.455639097744361
DAB	2.918650088809947
